id_transaccion,id_usuario,monto_str,fecha_operacion,categoria_raw,tipo_movimiento
TXN000001,USR0021,248.84 MXN,25/04/2025,Renta$$,cargo
TXN000002,USR0014,286.89 MXN,2025/09/16,Supermercádo!!,Cargo
TXN000003,USR0014,"$3,621.21",24/01/2026,Réstaurantes,cargo
TXN000004,USR0011,$787.33,2025/06/26,renta_mensual,CARGO
TXN000005,USR0030,10863.57,2025/07/05,NOMINA**,CR
TXN000006,USR0010,"MXN 6,849.78",23-May-2025,renta_mensual,CARGO
TXN000007,USR0023,4892.59,09/01/2026,RENTA,Cargo
TXN000008,USR0023,"$1,795.94",2025-04-28,EDUCACION,cargo
TXN000009,USR0019,"MXN 1,740.38",26-Nov-2025,Entreténimiento,EGRESO
TXN000010,USR0009,"16,670.66 MXN",2025/03/12,AHORRO**,abono
TXN000011,USR0021,6347.03,02-Feb-2025,Tr@nsporte,EGRESO
TXN000012,USR0018,5458.25,01-20-2026,super-mercado,CARGO
TXN000013,USR0024,7776.51,02-24-2025,SALUD**,Cargo
TXN000014,USR0025,$7352.02,2025-09-08,Educación!!,debito
TXN000015,USR0010,$510.51,13-Feb-2025,Restaurántes,debito
TXN000016,USR0022,$7577.45,2025/09/28,SERVICIOS##,Cargo
TXN000017,USR0023,$5717.94,2025/08/13,Réstaurantes,EGRESO
TXN000018,USR0019,"$1,879.41",2025-02-06,Educación!!,Cargo
TXN000019,USR0017,"2,263.89 MXN",04/10/2025,Réstaurantes,EGRESO
TXN000020,USR0004,"MXN 5,288.91",30-Jul-2025,Renta$$,cargo
TXN000021,USR0013,"6,414.71 MXN",09/04/2025,entretenimiento$$,CARGO
TXN000022,USR0008,"$3,572.89",2025/01/26,Renta$$,debito
TXN000023,USR0006,"$9,274.95",26-Mar-2025,Nómina,INGRESO
TXN000024,USR0015,3412.91,05-Dec-2025,SALUD**,DB
TXN000025,USR0024,$534.61,2025/01/26,EDUCACION,cargo
TXN000026,USR0017,6818.17,04/02/2025,Réntá,CARGO
TXN000027,USR0020,4974.08,2025/10/17,super-mercado,EGRESO
TXN000028,USR0008,,08-23-2025,Sálud,DB
TXN000029,USR0004,$4324.19,03-09-2025,Renta$$,debito
TXN000030,USR0027,5643.14,2025/01/05,EDUCACION,debito
TXN000031,USR0009,7123.22,03-21-2025,renta_mensual,DB
TXN000032,USR0021,"$4,068.00",17-Feb-2025,salud_medica,cargo
TXN000033,USR0009,"MXN 5,942.79",2025-10-15,Tránsporte,debito
TXN000034,USR0018,6685.03,17-Mar-2025,SUPERMERCADO,debito
TXN000035,USR0028,"7,196.45 MXN",2025-12-08,super-mercado,Cargo
TXN000036,USR0020,"7,409.82 MXN",01-Apr-2025,Tránsporte,Cargo
TXN000037,USR0014,"$2,171.11",2025-07-15,Réstaurantes,DB
TXN000038,USR0010,"1,822.24 MXN",07-24-2025,restaurante$,DB
TXN000039,USR0021,$3227.44,2025-01-15,EDUCACION,debito
TXN000040,USR0004,"MXN 19,570.90",2025/11/07,Áhorro,abono
TXN000041,USR0023,"23,511.50 MXN",06-Jul-2025,Nómina,credito
TXN000042,USR0022,5772.05,08-Jun-2025,renta_mensual,cargo
TXN000043,USR0014,23056.11,04-Jun-2025,Nómina,credito
TXN000044,USR0020,"3,746.66 MXN",19-Sep-2025,entretenimiento$$,EGRESO
TXN000045,USR0021,,26/04/2025,Áhorro,Abono
TXN000046,USR0028,3670.56,10-Apr-2025,Réntá,DB
TXN000047,USR0029,"6,238.44 MXN",2025/12/23,Réntá,Cargo
TXN000048,USR0015,6421.26,2025/10/14,transporte99,DB
TXN000049,USR0024,"MXN 3,442.59",23-Mar-2025,EDUCACION,debito
TXN000050,USR0025,$3902.55,2025-08-14,educacion$,Cargo
TXN000051,USR0018,"MXN 1,150.07",22/12/2025,RENTA,Cargo
TXN000052,USR0014,"MXN 1,694.33",2026/01/30,Supermercádo!!,EGRESO
TXN000053,USR0001,"MXN 2,423.97",2025/10/03,entretenimiento$$,EGRESO
TXN000054,USR0016,"MXN 3,141.41",06/01/2026,Súpermercado,DB
TXN000055,USR0030,"MXN 18,260.00",11-Mar-2025,NOMINA**,ABONO
TXN000056,USR0011,$6101.78,21-Jan-2026,ENTRETENIMIENTO!!,EGRESO
TXN000057,USR0002,"$1,832.57",2026-01-22,Entreténimiento,CARGO
TXN000058,USR0005,"5,372.20 MXN",08-27-2025,SERVICIOS##,debito
TXN000059,USR0004,7719.53,01-14-2025,Tr@nsporte,CARGO
TXN000060,USR0023,860.12,2025/03/03,Restaurántes,cargo
TXN000061,USR0017,MXN 150.58,24-Feb-2025,ENTRETENIMIENTO!!,EGRESO
TXN000062,USR0014,$5883.67,2025/11/12,Tr@nsporte,DB
TXN000063,USR0011,$6654.31,19/08/2025,Réstaurantes,CARGO
TXN000064,USR0016,$1495.63,05-13-2025,ENTRETENIMIENTO!!,Cargo
TXN000065,USR0001,"7,587.10 MXN",04-Jan-2026,EDUCACION,CARGO
TXN000066,USR0023,"$3,612.99",31/05/2025,SERVICIOS##,CARGO
TXN000067,USR0016,4270.83,06-19-2025,educacion$,EGRESO
TXN000068,USR0024,2558.61,26/01/2026,RESTAURANTES!,DB
TXN000069,USR0025,"4,794.49 MXN",,EDUCACION,CARGO
TXN000070,USR0009,$7795.64,,Súpermercado,debito
TXN000071,USR0016,$2758.61,2025-09-02,Sérvicios,CARGO
TXN000072,USR0002,$1236.12,13/02/2025,Tránsporte,debito
TXN000073,USR0020,"MXN 6,216.76",08-15-2025,Réstaurantes,EGRESO
TXN000074,USR0024,"7,583.34 MXN",2025-05-16,RENTA,Cargo
TXN000075,USR0014,$5530.50,17/01/2025,SERVICIOS##,EGRESO
TXN000076,USR0022,7395.09,05/12/2025,Réstaurantes,DB
TXN000077,USR0009,$617.71,2025/11/01,transporte99,Cargo
TXN000078,USR0013,"MXN 4,028.75",2025/02/11,Sálud,EGRESO
TXN000079,USR0001,1869.95,2025-10-28,renta_mensual,DB
TXN000080,USR0017,7332.78,12-Aug-2025,Sérvicios,Cargo
TXN000081,USR0004,"MXN 2,671.94",28-May-2025,Tránsporte,DB
TXN000082,USR0025,6608.17,25-Aug-2025,Nómina,CARGO
TXN000083,USR0021,$6091.92,09/10/2025,SERVICIOS##,Cargo
TXN000084,USR0021,5692.77,2025/01/08,AHORRO**,cargo
TXN000085,USR0015,"MXN 5,199.29",01-02-2026,renta_mensual,Cargo
TXN000086,USR0015,1199.90,18/09/2025,Educación!!,Cargo
TXN000087,USR0030,$2174.02,01-07-2026,educacion$,CARGO
TXN000088,USR0015,3900.51,2026/01/26,EDUCACION,cargo
TXN000089,USR0023,"MXN 4,595.79",01-23-2025,Réstaurantes,Cargo
TXN000090,USR0022,"3,987.86 MXN",2025/09/15,transporte99,CARGO
TXN000091,USR0017,MXN 172.01,02/12/2025,Sérvicios,Cargo
TXN000092,USR0023,22035.31,07-14-2025,Nóminá,CR
TXN000093,USR0021,"$7,979.54",2025-08-11,Sálud,DB
TXN000094,USR0002,$6379.34,11-Jul-2025,Entreténimiento,cargo
TXN000095,USR0006,"MXN 1,441.80",14/11/2025,Tr@nsporte,debito
TXN000096,USR0009,"MXN 2,079.85",2025/05/28,Sérvicios,CARGO
TXN000097,USR0010,"14,136.72 MXN",16-Jul-2025,Nómina,abono
TXN000098,USR0023,MXN 224.42,2025-05-21,Sálud,DB
TXN000099,USR0029,6217.14,30/06/2025,SALUD**,Cargo
TXN000100,USR0022,"$5,044.57",08-Jun-2025,Tránsporte,DB
TXN000101,USR0010,"5,992.47 MXN",2025/03/09,ENTRETENIMIENTO!!,Cargo
TXN000102,USR0009,$7740.70,28-Feb-2025,Sérvicios,cargo
TXN000103,USR0024,"$6,446.47",2025-07-22,nomina_quincenal,cargo
TXN000104,USR0022,,25/02/2025,Sálud#,DB
TXN000105,USR0030,$6264.34,29-Nov-2025,Áhorro,INGRESO
TXN000106,USR0016,822.68 MXN,18-Jul-2025,renta_mensual,debito
TXN000107,USR0014,"$1,278.46",2025/09/08,AHORRO**,EGRESO
TXN000108,USR0007,$3585.33,02-20-2025,servicios_basicos,Cargo
TXN000109,USR0009,"$7,747.24",06/12/2025,Restaurántes,EGRESO
TXN000110,USR0026,"21,596.36 MXN",28/10/2025,Áhorro,credito
TXN000111,USR0001,"6,874.33 MXN",10-04-2025,SALUD**,Cargo
TXN000112,USR0012,"4,731.38 MXN",2025-05-16,RESTAURANTES!,CARGO
TXN000113,USR0016,6235.24,25-Feb-2025,servicios_basicos,debito
TXN000114,USR0030,"$2,447.96",01-Feb-2025,EDUCACION,DB
TXN000115,USR0015,7199.17,2025-03-17,RENTA,cargo
TXN000116,USR0011,4267.93,06-Nov-2025,Nómina,EGRESO
TXN000117,USR0029,"MXN 5,780.68",20/08/2025,EDUCACION,Cargo
TXN000118,USR0004,$3442.77,11/07/2025,entretenimiento$$,DB
TXN000119,USR0003,19775.92,2025/01/31,nomina_quincenal,Abono
TXN000120,USR0025,5782.43,06-09-2025,Nómina,cargo
TXN000121,USR0008,$2833.41,02-28-2025,RENTA,debito
TXN000122,USR0027,17853.98,12-03-2025,Áhorro,ABONO
TXN000123,USR0011,98.54,03-Dec-2025,Entreténimiento,Cargo
TXN000124,USR0024,"MXN 1,760.31",24/06/2025,EDUCACION,EGRESO
TXN000125,USR0020,"7,072.57 MXN",2026/01/22,Renta$$,Cargo
TXN000126,USR0016,"$10,463.34",26-Jun-2025,Áhorro,credito
TXN000127,USR0022,411.07,2025-01-29,SALUD**,EGRESO
TXN000128,USR0009,"MXN 2,658.57",18-Jan-2026,SALUD**,CARGO
TXN000129,USR0018,$623.00,2025-08-12,ENTRETENIMIENTO!!,DB
TXN000130,USR0019,"MXN 3,370.67",01-11-2025,NOMINA**,CARGO
TXN000131,USR0030,750.63 MXN,2025/08/12,ENTRETENIMIENTO!!,CARGO
TXN000132,USR0011,"$2,697.90",2025-09-19,RESTAURANTES!,Cargo
TXN000133,USR0027,$1928.34,12/04/2025,TRANSPORTE#,Cargo
TXN000134,USR0025,3738.43,2025/08/18,servicios_basicos,debito
TXN000135,USR0021,"MXN 1,250.11",08-15-2025,ENTRETENIMIENTO!!,CARGO
TXN000136,USR0015,$348.98,2025-02-09,servicios_basicos,cargo
TXN000137,USR0026,"3,625.38 MXN",2025/06/14,Súpermercado,debito
TXN000138,USR0026,7859.97,27/11/2025,Entreténimiento,CARGO
TXN000139,USR0017,"MXN 12,457.04",07-29-2025,ahorro_programado,abono
TXN000140,USR0003,MXN 801.32,05-26-2025,entretenimiento$$,DB
TXN000141,USR0005,697.94 MXN,06-29-2025,entretenimiento$$,DB
TXN000142,USR0003,$4493.43,2025/03/07,Sálud,DB
TXN000143,USR0012,$1483.09,28-Jan-2026,SALUD**,Cargo
TXN000144,USR0028,4086.13,01-20-2025,RENTA,debito
TXN000145,USR0023,"$1,366.04",07-30-2025,ahorro_programado,EGRESO
TXN000146,USR0025,$1910.32,29/08/2025,SERVICIOS##,Cargo
TXN000147,USR0025,6236.09,03/08/2025,SALUD**,debito
TXN000148,USR0021,"$6,999.23",2025/12/31,Sérvicios,debito
TXN000149,USR0029,"$1,221.42",24-Apr-2025,EDUCACION,EGRESO
TXN000150,USR0012,$3120.02,2025-04-25,restaurante$,CARGO
TXN000151,USR0026,"MXN 1,143.92",,Tr@nsporte,cargo
TXN000152,USR0009,6687.96,28-Sep-2025,Restaurántes,debito
TXN000153,USR0008,"$17,456.21",2025/09/13,Nómina,ABONO
TXN000154,USR0010,"MXN 12,056.32",2025-04-06,nomina_quincenal,credito
TXN000155,USR0017,$211.66,,EDUCACION,EGRESO
TXN000156,USR0012,"$5,876.88",2026/01/31,restaurante$,DB
TXN000157,USR0021,"MXN 6,651.55",23-Dec-2025,TRANSPORTE#,DB
TXN000158,USR0015,"2,382.87 MXN",01-22-2025,super-mercado,CARGO
TXN000159,USR0009,$6038.66,2025-07-02,super-mercado,Cargo
TXN000160,USR0013,$7162.37,06-Apr-2025,servicios_basicos,EGRESO
TXN000161,USR0026,"MXN 5,830.30",05/11/2025,renta_mensual,CARGO
TXN000162,USR0010,"4,840.84 MXN",20-Dec-2025,SERVICIOS##,EGRESO
TXN000163,USR0020,"$24,600.55",10-Dec-2025,nomina_quincenal,ABONO
TXN000164,USR0001,"MXN 6,796.92",18/01/2025,Tránsporte,DB
TXN000165,USR0019,"MXN 4,860.50",07-09-2025,Súpermercado,DB
TXN000166,USR0013,"$5,214.01",14/01/2025,ENTRETENIMIENTO!!,Cargo
TXN000167,USR0025,5647.10,27-May-2025,SALUD**,Cargo
TXN000168,USR0029,$7978.24,12-08-2025,servicios_basicos,DB
TXN000169,USR0028,"5,708.88 MXN",2025/07/05,TRANSPORTE#,DB
TXN000170,USR0026,258.96,08-Jul-2025,servicios_basicos,debito
TXN000171,USR0013,4229.28,07/02/2025,SERVICIOS##,EGRESO
TXN000172,USR0012,7029.78,04/04/2025,Tr@nsporte,debito
TXN000173,USR0017,$2467.79,30/12/2025,transporte99,Cargo
TXN000174,USR0003,$1610.60,03-06-2025,Sálud,debito
TXN000175,USR0005,5286.93,2025/06/22,Tránsporte,DB
TXN000176,USR0021,"MXN 9,216.17",2025-11-13,AHORRO**,credito
TXN000177,USR0010,"MXN 1,996.78",02-Jun-2025,Sérvicios,DB
TXN000178,USR0015,$2754.53,01-03-2026,restaurante$,Cargo
TXN000179,USR0018,"$2,586.97",17-May-2025,RENTA,EGRESO
TXN000180,USR0028,$24253.72,10-23-2025,Áhorro,Abono
TXN000181,USR0016,"MXN 4,004.09",16-Sep-2025,SALUD**,CARGO
TXN000182,USR0016,$5251.37,2025-10-02,Áhorro,EGRESO
TXN000183,USR0025,13011.63,04-10-2025,nomina_quincenal,credito
TXN000184,USR0009,"MXN 7,376.22",07-11-2025,ahorro_programado,ABONO
TXN000185,USR0017,$5906.07,2025/08/31,Nóminá,Abono
TXN000186,USR0030,$12859.09,10-31-2025,ahorro_programado,credito
TXN000187,USR0010,$6535.20,2025-12-11,SERVICIOS##,cargo
TXN000188,USR0023,4795.43,23/10/2025,Supermercádo!!,cargo
TXN000189,USR0020,,2025-12-25,NOMINA**,ABONO
TXN000190,USR0023,"MXN 3,312.50",2026-01-12,RESTAURANTES!,debito
TXN000191,USR0016,"MXN 3,045.76",09-30-2025,educacion$,Cargo
TXN000192,USR0021,"4,900.11 MXN",2025/05/23,salud_medica,Cargo
TXN000193,USR0010,$5537.41,09-03-2025,restaurante$,EGRESO
TXN000194,USR0029,$7639.14,01-22-2025,Nómina,Cargo
TXN000195,USR0016,$1656.44,10-15-2025,RESTAURANTES!,debito
TXN000196,USR0002,"$1,844.09",21-Feb-2025,EDUCACION,Cargo
TXN000197,USR0001,"MXN 7,824.39",01-Dec-2025,EDUCACION,Cargo
TXN000198,USR0010,7268.10,2025/04/29,Supermercádo!!,CARGO
TXN000199,USR0006,,04-06-2025,Supermercádo!!,EGRESO
TXN000200,USR0011,3662.08,26-Sep-2025,SALUD**,DB
TXN000201,USR0004,$1341.83,03/01/2026,Entreténimiento,EGRESO
TXN000202,USR0025,"MXN 1,445.18",2025/08/07,restaurante$,DB
TXN000203,USR0005,"$2,622.63",14-May-2025,Sérvicios,Cargo
TXN000204,USR0019,"18,073.67 MXN",2025-02-01,AHORRO**,CR
TXN000205,USR0029,$5537.81,2025/07/08,SALUD**,DB
TXN000206,USR0024,19038.81,07/12/2025,Áhorro,INGRESO
TXN000207,USR0017,"$4,248.98",2025-10-16,Sérvicios,cargo
TXN000208,USR0018,"MXN 1,358.07",01/03/2025,Tr@nsporte,debito
TXN000209,USR0015,4130.32,2025/01/30,Tr@nsporte,EGRESO
TXN000210,USR0009,"$5,979.15",24-Jan-2025,super-mercado,debito
TXN000211,USR0029,"$7,889.79",27-May-2025,RENTA,EGRESO
TXN000212,USR0021,"MXN 22,826.67",2025-07-12,NOMINA**,INGRESO
TXN000213,USR0018,"$19,557.16",2026-01-23,nomina_quincenal,Abono
TXN000214,USR0013,"2,017.72 MXN",22/05/2025,Restaurántes,cargo
TXN000215,USR0030,"$1,963.30",2025-11-01,Súpermercado,CARGO
TXN000216,USR0024,3248.01,2025-04-22,SUPERMERCADO,Cargo
TXN000217,USR0024,$16958.35,05-02-2025,Áhorro,CR
TXN000218,USR0009,"4,475.91 MXN",17-Nov-2025,Súpermercado,debito
TXN000219,USR0013,"MXN 2,583.94",03-18-2025,EDUCACION,EGRESO
TXN000220,USR0008,"MXN 6,867.45",2025/01/30,Sálud#,Cargo
TXN000221,USR0008,"$1,666.53",08-19-2025,Sálud,DB
TXN000222,USR0013,22472.41,2026/01/06,Áhorro,Abono
TXN000223,USR0030,"$1,733.87",18-Jan-2026,SUPERMERCADO,Cargo
TXN000224,USR0008,"MXN 2,606.84",2025/08/27,educacion$,cargo
TXN000225,USR0016,MXN 833.94,01-25-2026,Sérvicios,DB
TXN000226,USR0008,178.95,24-Oct-2025,transporte99,debito
TXN000227,USR0027,$4019.45,12-May-2025,Réstaurantes,DB
TXN000228,USR0005,"$3,932.11",2025-09-26,Educación!!,debito
TXN000229,USR0014,"$6,748.23",29/12/2025,Tránsporte,Cargo
TXN000230,USR0021,,2025/09/30,AHORRO**,CARGO
TXN000231,USR0010,"MXN 4,042.62",2025-04-02,Supermercádo!!,DB
TXN000232,USR0009,"$2,175.23",11-Jul-2025,ENTRETENIMIENTO!!,EGRESO
TXN000233,USR0022,"$5,247.20",17-Feb-2025,Réntá,DB
TXN000234,USR0023,$707.35,2025-10-17,Tránsporte,EGRESO
TXN000235,USR0019,$2205.21,2025/10/06,servicios_basicos,CARGO
TXN000236,USR0007,"$21,413.81",03/06/2025,ahorro_programado,INGRESO
TXN000237,USR0029,"2,687.25 MXN",2025-12-19,educacion$,DB
TXN000238,USR0008,2757.71,07-23-2025,Renta$$,debito
TXN000239,USR0008,"MXN 4,446.65",2025/04/06,entretenimiento$$,EGRESO
TXN000240,USR0008,MXN 702.20,31/12/2025,,Cargo
TXN000241,USR0010,"$2,911.34",2025-03-09,Sérvicios,cargo
TXN000242,USR0004,$762.47,,super-mercado,debito
TXN000243,USR0025,"5,812.51 MXN",2025/10/20,RENTA,debito
TXN000244,USR0009,"MXN 1,210.18",22-May-2025,SERVICIOS##,Cargo
TXN000245,USR0008,,24/02/2025,SERVICIOS##,Cargo
TXN000246,USR0013,3549.77,03-11-2025,ENTRETENIMIENTO!!,EGRESO
TXN000247,USR0006,"MXN 2,367.01",22/10/2025,nomina_quincenal,DB
TXN000248,USR0004,24945.30,14-Jan-2025,ahorro_programado,Abono
TXN000249,USR0003,"7,783.58 MXN",10/05/2025,Nóminá,abono
TXN000250,USR0016,"MXN 15,132.25",2025-10-06,AHORRO**,CR
